"today","before_cook.grow","before_cook.color1.color1_loc","before_cook.color1.color1_lmpr","before_cook.color1.same_cl1","before_cook.aromay.aroma1_loc_C","before_cook.aromay.aroma1_lmpr_C","before_cook.aromay.same_ar1","before_cook.eas1.eas1_loc","before_cook.eas1.eas1_lmpr","before_cook.eas1.same_eas1","before_cook.time1.time1_loc","before_cook.time1.time1_impr","before_cook.time1.same_tm1","before_cook.exp1.exp1_loc","before_cook.exp1.exp1_lmpr","before_cook.exp1.same_exp1","before_cook.aromax.aroma1_loc_E","before_cook.aromax.aroma1_lmpr_E","before_cook.aromax.same_exp1","before_cook.taste1.taste1_loc","before_cook.taste1.taste1_impr","before_cook.taste1.same_tast1","before_cook.text1.text1_loc","before_cook.text1.text1_lmpr","before_cook.text1.same_txt1","after_cooking.color2.color2_loc","after_cooking.color2.color2_lmpr","after_cooking.color2.same_cl2","after_cooking.aromam.aroma2_loc_C","after_cooking.aromam.aroma2_lmpr_C","after_cooking.aromam.same_ar2","after_cooking.eas2.eas2_loc","after_cooking.eas2.eas2_lmpr","after_cooking.eas2.same_eas2","after_cooking.time2.time2_loc","after_cooking.time2.time2_impr","after_cooking.time2.same_tm2","after_cooking.exp2.exp2_loc","after_cooking.exp2.exp2_lmpr","after_cooking.exp2.same_exp2","after_cooking.aroma2.aroma2_loc_E","after_cooking.aroma2.aroma2_lmpr_E","after_cooking.aroma2.same_exp2","after_cooking.taste2.taste2_loc","after_cooking.taste2.taste2_impr","after_cooking.taste2.same_tast2","after_cooking.text2.text2_loc","after_cooking.text2.text2_lmpr","after_cooking.text2.same_txt2","plant","timing.time1","timing.time2","wgt_bf.WL_b","wgt_bf.WR_b","wgt_aft.WL_a","wgt_aft.WR_a","diff_L","diff_R","x"
"2023-07-04",12,11,4,0,15,0,0,9,5,0,15,0,0,15,0,0,15,0,0,15,0,0,4,11,0,0,16,0,3,14,0,12,0,0,5,11,0,0,17,0,1,16,0,1,15,0,1,15,0,17,4.9,4.6,993,993,539,518,454,475,0
"2023-07-04",9,1,14,0,12,2,1,8,3,4,13,2,0,5,10,0,11,5,0,9,5,1,2,14,0,0,15,0,11,4,0,1,14,0,0,15,0,1,14,0,11,2,1,9,6,0,4,11,0,12,6.02,5.27,987,987,600,554,387,433,0
"2023-07-04",11,1,12,0,13,0,1,0,10,3,0,11,3,3,12,1,6,9,1,8,5,2,2,15,1,0,18,0,8,8,1,2,14,0,0,17,0,1,0,0,8,11,0,11,7,0,14,3,0,17,16,14,990,990,528,581,462,409,1
"2023-07-04",13,1,15,0,14,0,0,14,0,2,1,16,0,13,2,1,16,1,0,1,14,0,0,17,0,0,20,0,19,1,0,20,0,0,20,0,0,1,0,0,0,20,0,0,20,0,18,2,0,20,8,9,993,993,557,589,436,404,0
"2023-07-05",6,1,11,2,14,0,0,10,3,1,3,7,4,3,9,2,14,0,0,14,0,0,2,12,0,0,14,0,8,2,4,0,14,0,0,14,0,0,14,0,12,2,0,13,1,0,8,6,0,13,6.06,4.55,1000,1000,554,584,446,416,0
"2023-07-04",4,1,17,0,18,0,0,0,17,1,9,9,0,17,1,0,17,1,0,17,1,0,16,2,0,0,18,0,0,18,0,0,18,0,0,18,0,0,18,0,0,18,0,0,18,0,2,16,0,17,9.26,7.2,1004,1004,546,600,458,404,0
"2023-07-04",12,0,13,0,11,2,0,1,9,1,0,11,0,12,1,0,11,2,0,4,10,0,4,10,0,0,15,0,12,2,0,1,14,0,0,15,0,0,15,0,0,15,0,15,0,0,2,13,0,15,5,3.3,991,991,552,551,439,440,0
"2023-07-04",9,3,14,1,0,0,0,5,10,3,1,12,5,6,10,2,10,6,2,12,5,1,2,15,1,0,18,0,14,2,2,14,2,2,16,2,0,4,11,3,14,2,2,10,7,1,0,18,0,8,5.1,6.2,996,996,600,567,396,429,1
"2023-07-05",8,0,17,0,9,8,0,2,15,0,1,16,0,3,14,0,9,8,0,2,15,0,0,17,0,0,16,1,5,12,0,0,17,0,0,17,0,0,17,0,0,17,0,0,17,0,5,12,0,17,5,4,1005,1005,577,573,428,432,0
"2023-07-05",12,0,12,0,12,0,0,1,11,0,1,11,0,1,11,0,12,0,0,12,0,0,0,12,0,0,12,0,11,1,0,0,12,0,0,12,0,0,12,0,12,0,0,0,12,0,0,12,0,12,5,4,1008,1008,599,581,409,427,0
